name,mfr,calories,protein,fiber,carbo,sugars,shelf,rating
100%_Bran,N,70,4,10,5,6,3,68.402973
100%_Natural_Bran,Q,120,3,2,8,8,3,33.983679
All-Bran,K,70,4,9,7,5,3,59.425505
All-Bran_with_Extra_Fiber,K,50,4,14,8,0,3,93.704912
Almond_Delight,R,110,2,1,14,8,3,34.384843
Apple_Cinnamon_Cheerios,G,110,2,1.5,10.5,10,1,29.509541
Apple_Jacks,K,110,2,1,11,14,2,33.174094
Basic_4,G,130,3,2,18,8,3,37.038562
Bran_Chex,R,90,2,4,15,6,1,49.120253
Bran_Flakes,P,90,3,5,13,5,3,53.313813
Cap'n'Crunch,Q,120,1,0,12,12,2,18.042851
Cheerios,G,110,6,2,17,1,1,50.764999
Cinnamon_Toast_Crunch,G,120,1,0,13,9,2,19.823573
Clusters,G,110,3,2,13,7,3,40.400208
Cocoa_Puffs,G,110,1,0,12,13,2,22.736446
Corn_Chex,R,110,2,0,22,3,1,41.445019
Corn_Flakes,K,100,2,1,21,2,1,45.863324
Corn_Pops,K,110,1,1,13,12,2,35.782791
Count_Chocula,G,110,1,0,12,13,2,22.396513
Cracklin'_Oat_Bran,K,110,3,4,10,7,3,40.448772
Cream_of_Wheat_(Quick),N,100,3,1,21,0,2,64.533816
Crispix,K,110,2,1,21,3,3,46.895644
Crispy_Wheat_&_Raisins,G,100,2,2,11,10,3,36.176196
Double_Chex,R,100,2,1,18,5,3,44.330856
Froot_Loops,K,110,2,1,11,13,2,32.207582
Frosted_Flakes,K,110,1,1,14,11,1,31.435973
Frosted_Mini-Wheats,K,100,3,3,14,7,2,58.345141
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P,120,3,5,12,10,3,40.917047
Fruitful_Bran,K,120,3,5,14,12,3,41.015492
Fruity_Pebbles,P,110,1,0,13,12,2,28.025765
Golden_Crisp,P,100,2,0,11,15,1,35.252444
Golden_Grahams,G,110,1,0,15,9,2,23.804043
Grape_Nuts_Flakes,P,100,3,3,15,5,3,52.076897
Grape-Nuts,P,110,3,3,17,3,3,53.371007
Great_Grains_Pecan,P,120,3,3,13,4,3,45.811716
Honey_Graham_Ohs,Q,120,1,1,12,11,2,21.871292
Honey_Nut_Cheerios,G,110,3,1.5,11.5,10,1,31.072217
Honey-comb,P,110,1,0,14,11,1,28.742414
Just_Right_Crunchy__Nuggets,K,110,2,1,17,6,3,36.523683
Just_Right_Fruit_&_Nut,K,140,3,2,20,9,3,36.471512
Kix,G,110,2,0,21,3,2,39.241114
Life,Q,100,4,2,12,6,2,45.328074
Lucky_Charms,G,110,2,0,12,12,2,26.734515
Maypo,A,100,4,0,16,3,2,54.850917
"Muesli_Raisins,_Dates,_&_Almonds",R,150,4,3,16,11,3,37.136863
"Muesli_Raisins,_Peaches,_&_Pecans",R,150,4,3,16,11,3,34.139765
Mueslix_Crispy_Blend,K,160,3,3,17,13,3,30.313351
Multi-Grain_Cheerios,G,100,2,2,15,6,1,40.105965
Nut&Honey_Crunch,K,120,2,0,15,9,2,29.924285
Nutri-Grain_Almond-Raisin,K,140,3,3,21,7,3,40.69232
Nutri-grain_Wheat,K,90,3,3,18,2,3,59.642837
Oatmeal_Raisin_Crisp,G,130,3,1.5,13.5,10,3,30.450843
Post_Nat._Raisin_Bran,P,120,3,6,11,14,3,37.840594
Product_19,K,100,3,1,20,3,3,41.50354
Puffed_Rice,Q,50,1,0,13,0,3,60.756112
Puffed_Wheat,Q,50,2,1,10,0,3,63.005645
Quaker_Oat_Squares,Q,100,4,2,14,6,3,49.511874
Quaker_Oatmeal,Q,100,5,2.7,,,1,50.828392
Raisin_Bran,K,120,3,5,14,12,2,39.259197
Raisin_Nut_Bran,G,100,3,2.5,10.5,8,3,39.7034
Raisin_Squares,K,90,2,2,15,6,3,55.333142
Rice_Chex,R,110,1,0,23,2,1,41.998933
Rice_Krispies,K,110,2,0,22,3,1,40.560159
Shredded_Wheat,N,80,2,3,16,0,1,68.235885
Shredded_Wheat_'n'Bran,N,90,3,4,19,0,1,74.472949
Shredded_Wheat_spoon_size,N,90,3,3,20,0,1,72.801787
Smacks,K,110,2,1,9,15,2,31.230054
Special_K,K,110,6,1,16,3,1,53.131324
Strawberry_Fruit_Wheats,N,90,2,3,15,5,2,59.363993
Total_Corn_Flakes,G,110,2,0,21,3,3,38.839746
Total_Raisin_Bran,G,140,3,4,15,14,3,28.592785
Total_Whole_Grain,G,100,3,3,16,3,3,46.658844
Triples,G,110,2,0,21,3,3,39.106174
Trix,G,110,1,0,13,12,2,27.753301
Wheat_Chex,R,100,3,3,17,3,1,49.787445
Wheaties,G,100,3,3,17,3,1,51.592193
Wheaties_Honey_Gold,G,110,2,1,16,8,1,36.187559
